City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
478,Nueva Rosita,MX,68.59,27.95,-101.2167,overcast clouds,Hotel Rosa De Oro
479,Abnub,EG,77.22,27.2696,31.1511,clear sky,دوار ال عبد الجواد شرق البلد بابنوب
480,Padang,ID,77.05,-0.9492,100.3543,overcast clouds,Mercure Padang
482,Taltal,CL,65.34,-25.4,-70.4833,clear sky,Residencial Karime
484,Palasa,IN,73.94,18.7667,84.4167,clear sky,Balaji tifen & meals veg & non veg hotel
486,Bloomington,US,60.73,44.8408,-93.2983,clear sky,La Quinta Inn by Wyndham Minneapolis Airport Bloomington
487,Huayucachi,PE,68.9,-12.1333,-75.2333,few clouds,HOSTAL MOLINOS - cochera
489,Nevers,FR,64.98,46.9167,3.3333,light rain,Castle Prye
492,Sabha,LY,71.65,27.0377,14.4283,clear sky,محطة ام الارانب -سبها مواصلات
497,Sestri Levante,IT,69.51,44.2732,9.3968,overcast clouds,Grande Albergo
502,Mangan,IN,63.77,27.5167,88.5333,clear sky,Hotel Mout View
505,Huarmey,PE,68.72,-10.0681,-78.1522,overcast clouds,Hotel Miramar
509,Stephenville,US,70.77,32.2207,-98.2023,clear sky,La Quinta Inn & Suites by Wyndham Stephenville
512,Narasannapeta,IN,75.16,18.4167,84.05,scattered clouds,AVK events and catering
517,Bandar,ID,74.07,2.05,99.75,overcast clouds,
519,Felanitx,ES,73.96,39.4696,3.1483,clear sky,Petit Hotel Hostatgeria Sant Salvador
520,Lolodorf,CM,73.49,3.2333,10.7333,moderate rain,Auberge la cité
522,Mahon,ES,72.16,39.8885,4.2658,scattered clouds,ARTIEM Capri
525,Ambon,ID,77.14,-3.6954,128.1814,few clouds,Swiss-Belhotel Ambon
527,Fochville,ZA,74.79,-26.4886,27.4939,broken clouds,Eden Vreugd Guesthouse
529,Coolum Beach,AU,75.11,-26.5333,153.1,overcast clouds,Coolum Beach Resort
530,Flinders,AU,70.38,-34.5833,150.8552,light rain,Shellharbour Resort & Conference Centre
533,Asmar,AF,62.64,35.0333,71.3581,broken clouds,COP Monti
534,Jalu,LY,69.75,29.0331,21.5482,clear sky,صاحبة الفخامة
535,Mount Vernon,US,65.41,40.9126,-73.8371,broken clouds,Ramada by Wyndham Bronx
539,Gaya,IN,71.51,24.7833,85.0,mist,Hotel Viraat Inn Gaya
542,Prabumulih,ID,74.71,-3.45,104.25,overcast clouds,OYO 2722 Lemon Residence Prabumulih
546,Bosaso,SO,79.47,11.2842,49.1816,few clouds,Red Sea Hotel
547,Freeport,US,65.97,40.6576,-73.5832,clear sky,The Freeport Inn and Marina
550,Bandarbeyla,SO,79.7,9.4942,50.8122,few clouds,JABIR HOTEL
559,Pontianak,ID,76.98,-0.0333,109.3333,scattered clouds,Aston Pontianak Hotel & Convention Center
565,Madimba,TZ,75.34,-10.4,40.3333,clear sky,
567,Tianpeng,CN,64.72,30.9866,103.9393,scattered clouds,Shuangliu Love Home Business Hotel
569,Sibolga,ID,76.35,1.7427,98.7792,moderate rain,Hotel Syariah CN Darussalam
570,Duki,PK,70.99,30.1541,68.5728,few clouds,ماسٹر رشید مرحوم
575,Los Llanos De Aridane,ES,72.12,28.6585,-17.9182,clear sky,Valle Aridane
576,Houma,US,75.2,29.5958,-90.7195,scattered clouds,Courtyard by Marriott Houma
579,Baikunthpur,IN,63.18,23.25,82.55,scattered clouds,Hotel Shree Annapurna
580,Safford,US,67.12,32.834,-109.7076,clear sky,SpringHill Suites by Marriott Thatcher
582,Morro Bay,US,63.14,35.3658,-120.8499,overcast clouds,Inn at Morro Bay
584,Teguise,ES,73.62,29.0605,-13.564,clear sky,B&B La Casona de Nazaret
586,Sitapur,IN,71.53,27.5667,80.6833,clear sky,marwadi dharmsala
592,Wanning,CN,73.98,18.8003,110.3967,overcast clouds,Paradise Hotel
593,Yambio,SS,71.89,4.5721,28.3955,light rain,Naivasha Hotel
597,Menongue,AO,71.78,-14.6585,17.691,broken clouds,Ritz Lauca
598,Mayo,US,66.18,38.8876,-76.5119,overcast clouds,Resorts Resource Group International
602,Ahuimanu,US,76.86,21.4447,-157.8378,light rain,Paradise Bay Resort
606,Ukiah,US,62.64,39.1502,-123.2078,clear sky,Hampton Inn Ukiah
609,Ishigaki,JP,73.53,24.3448,124.1572,heavy intensity rain,Hotel Peace Land Ishigakijima
610,Mantua,IT,70.75,45.1667,10.7833,overcast clouds,Hotel la Favorita
613,Muhororo,UG,63.57,0.9381,30.7594,moderate rain,Muhorro Executive Hotel
618,Kota Belud,MY,76.6,6.351,116.4305,heavy intensity rain,Tang Dynasty Lodge Kota Belud
619,Tabas,IR,72.12,33.5959,56.9244,clear sky,شرکت معماری مهراز شایگان آراد
620,Turan,VN,78.78,16.0678,108.2208,scattered clouds,Grand Mercure Danang
623,Qrendi,MT,70.11,35.8347,14.4583,few clouds,M'Anglu
628,Dhariwal,IN,71.24,31.9542,75.3192,broken clouds,Nina massi
630,Marawi,PH,69.26,7.9986,124.2928,broken clouds,Derogongan Residence
631,Mirabad,AF,73.74,30.4362,61.8383,scattered clouds,
632,Marzuq,YE,70.3,14.4,46.4667,clear sky,حيد القفلة
634,Tura,IN,68.58,25.5198,90.2201,broken clouds,Hotel RIKMAN Continental
637,Shenjiamen,CN,66.87,29.9576,122.298,overcast clouds,Jinjiang Inn Zhoushan Putuo Shenjiamen
640,Lagoa,PT,62.02,39.05,-27.9833,broken clouds,Casa Das Faias
641,Sola,VU,79.66,-13.8833,167.55,clear sky,Leumerus Bungalows
642,Iaciara,BR,73.35,-14.0958,-46.6317,light rain,Hotel Matinha
643,Strausberg,DE,60.08,52.5786,13.8874,overcast clouds,The Lakeside Burghotel zu Strausberg
644,Vicuna,CL,78.76,-30.0319,-70.7081,clear sky,Los Mosaicos
645,Lufilufi,WS,76.78,-13.8745,-171.5986,moderate rain,Leuaina Beach Resort and Spa
648,Tagbac,PH,72.39,7.089,125.1567,overcast clouds,Sitio Maupot Family Resort
650,Gladstone,AU,76.93,-23.85,151.25,light rain,Highpoint International Hotel
651,Pasni,PK,79.77,25.2631,63.471,clear sky,Kashmiri Hotal
654,Makakilo City,US,75.69,21.3469,-158.0858,few clouds,Marriott's Ko Olina Beach Club
659,Melville,US,66.06,40.7934,-73.4151,clear sky,Marriott Melville Long Island
660,Akyab,MM,79.88,20.15,92.9,few clouds,ဟိုတယ် မန်မိုရီ
666,Hirara,JP,76.95,24.8,125.2833,moderate rain,Hotel Atoll Emerald Miyakojima
668,Saint-Joseph,RE,73.78,-21.3667,55.6167,scattered clouds,"""Plantation Bed and Breakfast"
672,Santa Lucia,ES,69.76,27.9117,-15.5407,few clouds,Las Tirajanas
673,Kitui,KE,71.51,-1.367,38.0106,broken clouds,Heritage Bliss Hotel
676,Miraflores,MX,70.97,19.2167,-98.8083,light rain,Hotel Mansión
678,Sungairaya,ID,77.76,0.7,108.9,overcast clouds,Rumah Kuku Moimoi Shelly
679,Feni,BD,74.44,23.0186,91.41,few clouds,"Best Inn Hotel, Restaurant, Convention"
