City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
192,Touros,-5.1989,-35.4608,84.52,scattered clouds,57,30,15.05,BR
193,Santa Rosa,14.3122,121.1114,80.11,overcast clouds,89,89,3.98,PH
194,Arlit,18.7369,7.3853,83.3,clear sky,12,3,6.69,NE
195,Kudahuvadhoo,2.6708,72.8944,79.36,overcast clouds,80,100,9.24,MV
196,Vanavara,60.34,102.2797,19.53,overcast clouds,86,87,5.82,RU
197,Haines Junction,60.7522,-137.5108,19.35,overcast clouds,68,100,8.05,CA
198,Sitka,57.0531,-135.33,37.29,few clouds,81,20,6.91,US
199,Santa Helena De Goias,-17.8136,-50.5969,79.32,broken clouds,63,77,12.88,BR
200,East London,-33.0153,27.9116,58.14,scattered clouds,88,40,6.91,ZA
201,Panama City,8.9936,-79.5197,90.45,scattered clouds,72,40,9.22,PA
202,Le Port,-20.9373,55.2919,75.2,light rain,66,20,6.51,RE
203,Vardo,70.3705,31.1107,33.78,scattered clouds,93,40,9.22,NO
204,Whitehorse,60.7161,-135.0538,25.57,light snow,86,100,9.22,CA
205,Bambous Virieux,-20.3428,57.7575,74.21,scattered clouds,78,40,8.05,MU
206,Praya,14.9215,-23.5087,88.34,scattered clouds,55,43,12.66,CV
207,Mnogovershinnyy,53.9353,139.9242,26.92,overcast clouds,77,100,3.8,RU
208,Caravelas,-17.7125,-39.2481,83.32,overcast clouds,62,98,11.56,BR
209,Necochea,-38.5473,-58.7368,53.11,overcast clouds,54,93,18.7,AR
210,Viedma,-40.8135,-62.9967,64.51,clear sky,19,0,14.0,AR
211,Blackfoot,43.1905,-112.345,52.88,scattered clouds,41,45,3.09,US
212,Wahiawa,21.5028,-158.0236,73.87,few clouds,79,20,4.61,US
213,Portland,45.5234,-122.6762,55.83,light rain,94,100,16.11,US
214,Sampit,-2.5333,112.95,75.58,overcast clouds,93,100,1.72,ID
215,Vao,-22.6667,167.4833,72.48,few clouds,82,20,8.3,NC
216,Bodden Town,19.2833,-81.25,89.6,few clouds,67,20,12.66,KY
217,Payson,40.0444,-111.7321,49.41,few clouds,58,13,1.95,US
218,Boende,-0.2167,20.8667,67.62,overcast clouds,99,100,2.48,CD
219,Pacific Grove,36.6177,-121.9166,55.42,overcast clouds,95,100,3.44,US
220,Kailua,21.4022,-157.7394,77.14,light rain,86,25,1.01,US
221,Sibu,2.3,111.8167,77.31,moderate rain,100,40,3.44,MY
222,Urengoy,65.9667,78.3667,21.13,broken clouds,86,78,16.98,RU
223,Muros,42.7762,-9.0603,63.68,clear sky,72,8,8.21,ES
224,Meulaboh,4.1363,96.1285,76.95,overcast clouds,85,100,2.26,ID
225,Beyneu,45.3167,55.2,58.55,overcast clouds,60,100,9.89,KZ
226,Barreiras,-12.1528,-44.99,85.84,overcast clouds,48,100,2.95,BR
227,Cidreira,-30.1811,-50.2056,59.23,overcast clouds,87,100,24.65,BR
228,Guane,22.2025,-84.0875,86.99,clear sky,53,0,5.99,CU
229,Nishihara,26.1842,127.7558,74.48,drizzle,88,100,19.57,JP
230,Velagici,44.5572,16.7317,64.85,clear sky,52,6,3.85,BA
231,Kayerkan,69.3497,87.7602,19.42,overcast clouds,85,99,22.17,RU
232,Aklavik,68.2191,-135.0107,-8.01,few clouds,95,21,4.07,CA
233,Awjilah,29.1081,21.2869,69.98,clear sky,39,0,8.61,LY
234,Lasa,46.6166,10.7002,63.48,broken clouds,78,84,4.07,IT
235,Oranjemund,-28.55,16.4333,59.56,broken clouds,80,82,15.03,NA
236,Ilabaya,-17.4208,-70.5133,76.44,clear sky,29,0,12.64,PE
237,Itarema,-2.9248,-39.9167,87.4,broken clouds,57,78,18.14,BR
238,Garoua,9.3,13.4,87.39,clear sky,27,0,4.27,CM
239,Souillac,-20.5167,57.5167,73.78,scattered clouds,78,40,8.05,MU
240,Pankrushikha,53.8319,80.3406,28.31,scattered clouds,67,49,5.41,RU
241,Fos-Sur-Mer,43.4377,4.9446,70.36,overcast clouds,78,100,14.97,FR
242,Leningradskiy,69.3833,178.4167,6.76,overcast clouds,89,100,14.16,RU
243,Lazarev,52.225,141.5131,40.98,overcast clouds,90,100,17.92,RU
244,Narsaq,60.9167,-46.05,26.82,clear sky,74,7,3.85,GL
245,Fare,-16.7,-151.0167,78.6,overcast clouds,75,87,7.09,PF
246,Waterloo,43.4668,-80.5164,52.74,moderate rain,99,100,6.91,CA
247,Altay,47.8667,88.1167,32.23,broken clouds,59,75,3.33,CN
248,Vagur,61.4732,-6.8119,50.74,overcast clouds,86,100,25.64,FO
249,Kahului,20.8947,-156.47,78.84,clear sky,79,0,11.5,US
250,Swinford,53.95,-8.95,51.49,broken clouds,95,75,3.44,IE
251,Columbia,34.0007,-81.0348,68.16,overcast clouds,90,100,5.75,US
252,Katangli,51.7102,143.2326,32.45,overcast clouds,74,86,5.7,RU
253,Sakakah,29.9697,40.2064,81.97,clear sky,35,3,11.05,SA
254,Moissala,8.3404,17.7663,83.14,scattered clouds,47,41,2.98,TD
255,Kenora,49.8167,-94.4337,47.37,broken clouds,57,75,13.8,CA
256,Birjand,32.8663,59.2211,63.07,clear sky,27,0,0.0,IR
257,Washington,47.5001,-120.5015,51.78,overcast clouds,76,100,2.73,US
258,Awbari,26.5921,12.7805,71.28,clear sky,32,2,9.04,LY
259,Pochutla,15.7432,-96.4661,87.82,clear sky,58,3,3.58,MX
260,Sterling,39.0062,-77.4286,64.4,broken clouds,80,75,8.05,US
261,Ravar,31.2656,56.8055,70.23,broken clouds,29,82,2.62,IR
262,Payakumbuh,-0.2202,100.6308,70.18,overcast clouds,98,100,3.09,ID
263,Praia Da Vitoria,38.7333,-27.0667,67.75,scattered clouds,68,40,4.59,PT
264,Balabac,7.9868,117.0645,77.85,moderate rain,92,100,12.28,PH
265,Srednekolymsk,67.45,153.6833,-20.02,overcast clouds,100,85,1.68,RU
266,San Felipe,10.3399,-68.7425,83.23,scattered clouds,77,48,2.71,VE
267,Pingliang,35.5392,106.6861,46.76,clear sky,83,0,6.08,CN
268,Ibra,22.6906,58.5334,76.05,scattered clouds,38,44,6.71,OM
269,Sitrah,26.1547,50.6206,84.42,clear sky,61,0,11.5,BH
270,Bani Walid,31.7566,13.9942,70.41,few clouds,51,14,12.01,LY
271,Kabo,7.6994,18.629,82.8,broken clouds,51,64,2.89,CF
272,Magdagachi,53.45,125.8,30.34,snow,98,100,7.34,RU
273,Lardos,36.0942,28.0157,69.94,clear sky,61,0,11.21,GR
274,Salalah,17.0151,54.0924,82.49,clear sky,65,0,4.61,OM
275,Hasaki,35.7333,140.8333,54.21,broken clouds,51,82,11.54,JP
276,Lichuan,30.3,108.85,48.52,clear sky,92,1,0.92,CN
277,Yashalta,46.3395,42.2762,43.52,overcast clouds,67,100,15.32,RU
